date,step_number,step_name,users,conversion_rate_from_prev,conversion_rate_from_start
2024-10-18,1,商品閲覧,5664,1.0,1.0
2024-10-18,2,カート追加,1380,0.2436,0.2436
2024-10-18,3,購入手続き開始,735,0.5326,0.1298
2024-10-18,4,購入完了,177,0.2408,0.0312
2024-10-19,1,商品閲覧,5399,1.0,1.0
2024-10-19,2,カート追加,941,0.1743,0.1743
2024-10-19,3,購入手続き開始,640,0.6801,0.1185
2024-10-19,4,購入完了,225,0.3516,0.0417
2024-10-20,1,商品閲覧,4603,1.0,1.0
2024-10-20,2,カート追加,992,0.2155,0.2155
2024-10-20,3,購入手続き開始,652,0.6573,0.1416
2024-10-20,4,購入完了,178,0.273,0.0387
2024-10-21,1,商品閲覧,3727,1.0,1.0
2024-10-21,2,カート追加,914,0.2452,0.2452
2024-10-21,3,購入手続き開始,612,0.6696,0.1642
2024-10-21,4,購入完了,160,0.2614,0.0429
2024-10-22,1,商品閲覧,4822,1.0,1.0
2024-10-22,2,カート追加,726,0.1506,0.1506
2024-10-22,3,購入手続き開始,406,0.5592,0.0842
2024-10-22,4,購入完了,226,0.5567,0.0469
2024-10-23,1,商品閲覧,5013,1.0,1.0
2024-10-23,2,カート追加,1198,0.239,0.239
2024-10-23,3,購入手続き開始,830,0.6928,0.1656
2024-10-23,4,購入完了,182,0.2193,0.0363
2024-10-24,1,商品閲覧,3651,1.0,1.0
2024-10-24,2,カート追加,719,0.1969,0.1969
2024-10-24,3,購入手続き開始,438,0.6092,0.12
2024-10-24,4,購入完了,135,0.3082,0.037
2024-10-25,1,商品閲覧,4795,1.0,1.0
2024-10-25,2,カート追加,900,0.1877,0.1877
2024-10-25,3,購入手続き開始,507,0.5633,0.1057
2024-10-25,4,購入完了,166,0.3274,0.0346
2024-10-26,1,商品閲覧,5488,1.0,1.0
2024-10-26,2,カート追加,1186,0.2161,0.2161
2024-10-26,3,購入手続き開始,759,0.64,0.1383
2024-10-26,4,購入完了,268,0.3531,0.0488
2024-10-27,1,商品閲覧,6447,1.0,1.0
2024-10-27,2,カート追加,1491,0.2313,0.2313
2024-10-27,3,購入手続き開始,947,0.6351,0.1469
2024-10-27,4,購入完了,307,0.3242,0.0476
2024-10-28,1,商品閲覧,5102,1.0,1.0
2024-10-28,2,カート追加,994,0.1948,0.1948
2024-10-28,3,購入手続き開始,674,0.6781,0.1321
2024-10-28,4,購入完了,250,0.3709,0.049
2024-10-29,1,商品閲覧,4661,1.0,1.0
2024-10-29,2,カート追加,903,0.1937,0.1937
2024-10-29,3,購入手続き開始,520,0.5759,0.1116
2024-10-29,4,購入完了,218,0.4192,0.0468
2024-10-30,1,商品閲覧,5759,1.0,1.0
2024-10-30,2,カート追加,1275,0.2214,0.2214
2024-10-30,3,購入手続き開始,874,0.6855,0.1518
2024-10-30,4,購入完了,193,0.2208,0.0335
2024-10-31,1,商品閲覧,2764,1.0,1.0
2024-10-31,2,カート追加,583,0.2109,0.2109
2024-10-31,3,購入手続き開始,305,0.5232,0.1103
2024-10-31,4,購入完了,97,0.318,0.0351
2024-11-01,1,商品閲覧,7141,1.0,1.0
2024-11-01,2,カート追加,1763,0.2469,0.2469
2024-11-01,3,購入手続き開始,994,0.5638,0.1392
2024-11-01,4,購入完了,454,0.4567,0.0636
2024-11-02,1,商品閲覧,6463,1.0,1.0
2024-11-02,2,カート追加,1426,0.2206,0.2206
2024-11-02,3,購入手続き開始,922,0.6466,0.1427
2024-11-02,4,購入完了,362,0.3926,0.056
2024-11-03,1,商品閲覧,8990,1.0,1.0
2024-11-03,2,カート追加,1616,0.1798,0.1798
2024-11-03,3,購入手続き開始,959,0.5934,0.1067
2024-11-03,4,購入完了,523,0.5454,0.0582
2024-11-04,1,商品閲覧,4893,1.0,1.0
2024-11-04,2,カート追加,1120,0.2289,0.2289
2024-11-04,3,購入手続き開始,631,0.5634,0.129
2024-11-04,4,購入完了,360,0.5705,0.0736
2024-11-05,1,商品閲覧,6301,1.0,1.0
2024-11-05,2,カート追加,1450,0.2301,0.2301
2024-11-05,3,購入手続き開始,916,0.6317,0.1454
2024-11-05,4,購入完了,443,0.4836,0.0703
2024-11-06,1,商品閲覧,6135,1.0,1.0
2024-11-06,2,カート追加,1237,0.2016,0.2016
2024-11-06,3,購入手続き開始,728,0.5885,0.1187
2024-11-06,4,購入完了,401,0.5508,0.0654
2024-11-07,1,商品閲覧,6337,1.0,1.0
2024-11-07,2,カート追加,1488,0.2348,0.2348
2024-11-07,3,購入手続き開始,887,0.5961,0.14
2024-11-07,4,購入完了,458,0.5163,0.0723
2024-11-08,1,商品閲覧,6686,1.0,1.0
2024-11-08,2,カート追加,1073,0.1605,0.1605
2024-11-08,3,購入手続き開始,566,0.5275,0.0847
2024-11-08,4,購入完了,406,0.7173,0.0607
2024-11-09,1,商品閲覧,8281,1.0,1.0
2024-11-09,2,カート追加,1728,0.2087,0.2087
2024-11-09,3,購入手続き開始,1040,0.6019,0.1256
2024-11-09,4,購入完了,386,0.3712,0.0466
2024-11-10,1,商品閲覧,7234,1.0,1.0
2024-11-10,2,カート追加,1240,0.1714,0.1714
2024-11-10,3,購入手続き開始,798,0.6435,0.1103
2024-11-10,4,購入完了,357,0.4474,0.0494
2024-11-11,1,商品閲覧,5941,1.0,1.0
2024-11-11,2,カート追加,1231,0.2072,0.2072
